0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.7304,0.7304,0.7304,0.7304,0.7304,0.7304,0.7304,0.7304,0.7304,0.7304
0.7221,0.7221,0.7221,0.7221,0.7221,0.7221,0.7221,0.7221,0.7221,0.7229
0.712,0.712,0.712,0.712,0.712,0.712,0.712,0.712,0.712,0.712
0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.726
0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732
0.7269,0.7269,0.7269,0.7269,0.7269,0.7269,0.7269,0.7269,0.7269,0.7269
0.7343,0.7343,0.7343,0.7343,0.7343,0.7343,0.7343,0.7343,0.7343,0.7343
0.7239,0.7239,0.7239,0.7239,0.7239,0.7239,0.7239,0.7239,0.7239,0.7239
0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283,0.7283
0.7106,0.7106,0.7106,0.7106,0.7106,0.7106,0.7106,0.7106,0.7106,0.7106
0.7213,0.7213,0.7213,0.7213,0.7213,0.7213,0.7213,0.7213,0.7213,0.7213
0.7175,0.7175,0.7175,0.7175,0.7175,0.7175,0.7175,0.7175,0.7175,0.7175
0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181
0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189
0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.724
0.7056,0.7056,0.7056,0.7056,0.7056,0.7056,0.7056,0.7056,0.7065,0.7065
0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188
0.7178,0.7178,0.7178,0.7178,0.7178,0.7178,0.7178,0.7178,0.7178,0.7178
0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193
0.7279,0.7279,0.7279,0.7279,0.7279,0.7279,0.7279,0.7279,0.7279,0.7279
